Player Name,Team,Position,Age,Games Played,Games Started,MPG,FGM per game,FGA per game,FG%,3PM per game,3PA  per game,3P%,2PM per game,2PA per game,2P%,eFG%,FTM per game,FTA per game,FT%,ORB per game,DRB per game,TRB per game,AST per game,STL per game,BLK per game,TOV per game,Fouls per game,PPG
Precious Achiuwa,NYK,PF,24,9,2,20.4,2.3,4.8,0.488,0,0.3,0,2.3,4.4,0.525,0.488,0.6,1.4,0.385,2.4,1.8,4.2,0.6,0.4,1.3,0.4,2.2,5.2
Bam Adebayo,MIA,C,26,5,5,38.4,9.6,19.4,0.495,0.4,2,0.2,9.2,17.4,0.529,0.505,3,4.2,0.714,2.2,7.2,9.4,3.8,0.4,0,1.6,3,22.6
Nickeil Alexander-Walker,MIN,SG,25,12,1,26.3,3,8.1,0.371,1.8,5.8,0.304,1.3,2.3,0.536,0.479,0.7,0.7,1,0.4,1.5,1.9,2.6,0.6,0.4,0.9,1.8,8.4
Grayson Allen,PHO,SG,28,2,2,21.5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,0,0.3,2,2,1,1,3,4,1,0.5,0,1.5,2,3.5
Jarrett Allen,CLE,C,25,4,4,31.8,6.3,9.3,0.676,0,0,0,6.3,9.3,0.676,0.676,4.5,6.5,0.692,3.8,10,13.8,1.3,1.3,1,1.3,2,17
Jose Alvarado,NOP,PG,25,4,0,15.5,0.8,5,0.15,0.3,3.5,0.071,0.5,1.5,0.333,0.175,0,0,0,0,1,1,2.3,1.3,0.3,1,0.8,1.8
Kyle Anderson,MIN,PF,30,11,1,12.4,1.4,3.1,0.441,0.1,0.4,0.25,1.3,2.7,0.467,0.456,0.6,0.7,0.875,1.3,1.3,2.5,2.1,0.5,0.2,0.6,1.5,3.5
Thanasis Antetokounmpo,MIL,PF,31,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0
Cole Anthony,ORL,PG,23,7,0,14.7,1.9,5.9,0.317,0.3,1.9,0.154,1.6,4,0.393,0.341,1.1,1.3,0.889,0.3,1.9,2.1,1.3,0.6,0.1,0.7,2.3,5.1
OG Anunoby,NYK,SF,26,9,9,36,6.2,12.3,0.505,1.8,4.3,0.41,4.4,8,0.556,0.577,0.9,1.4,0.615,0.8,5.2,6,1.1,0.9,1,1.1,1.7,15.1
Paolo Banchero,ORL,PF,21,7,7,37.4,9.7,21.3,0.456,2.3,5.7,0.4,7.4,15.6,0.477,0.51,5.3,7,0.755,2,6.6,8.6,4,1.1,0.6,4.6,2,27
Nicolas Batum,PHI,PF,35,6,0,28.3,2,4.8,0.414,1.5,3.7,0.409,0.5,1.2,0.429,0.569,0.8,1.3,0.625,1.5,4.3,5.8,1.3,0.2,0.8,0.8,2.2,6.3
Bradley Beal,PHO,SG,30,4,4,38.5,6.5,14.8,0.441,2.5,5.8,0.435,4,9,0.444,0.525,1,1.3,0.8,1.5,1.3,2.8,4.5,0.8,0.3,3.3,3.8,16.5
Malik Beasley,MIL,SG,27,6,2,21.8,3.5,6.8,0.512,1.8,4.2,0.44,1.7,2.7,0.625,0.646,0,0,0,0.2,2.3,2.5,0.7,0.7,0,0.5,1.5,8.8
MarJon Beauchamp,MIL,SF,23,4,0,2.5,0.3,1,0.25,0,0.5,0,0.3,0.5,0.5,0.25,0.3,0.5,0.5,0,0.3,0.3,0.5,0,0,0.3,0.3,0.8
Patrick Beverley,MIL,PG,35,6,6,35,2.7,6.5,0.41,0.7,1.8,0.364,2,4.7,0.429,0.462,2.2,2.5,0.867,0.7,2.7,3.3,5.5,1,0.7,1,2.7,8.2
Goga Bitadze,ORL,C,24,2,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,1,1.5,1,0,0,0.5,0,0
Anthony Black,ORL,PG,20,2,0,5.5,1.5,3.5,0.429,0,1,0,1.5,2.5,0.6,0.429,0,0,0,0.5,0.5,1,1,0.5,0,0.5,0.5,3
Bojan Bogdanovi?,NYK,SF,34,4,0,12.8,1.8,6,0.292,1.5,3.8,0.4,0.3,2.3,0.111,0.417,1,1.8,0.571,0.3,2.8,3,1,0,0.3,0.3,0.8,6
Bol Bol,PHO,PF,24,3,0,4.3,0.3,1,0.333,0,0,0,0.3,1,0.333,0.333,0,0,0,0,1.3,1.3,0,0.3,0,0,0.7,0.7
Devin Booker,PHO,PG,27,4,4,41.5,8,16.3,0.492,1.8,5,0.35,6.3,11.3,0.556,0.546,9.8,10.3,0.951,0.3,3,3.3,6,1.8,0.3,2.8,4.5,27.5
Brandon Boston Jr.,LAC,SF,22,3,0,3.3,0.7,1.3,0.5,0,0,0,0.7,1.3,0.5,0.5,0.3,0.7,0.5,0.3,0.3,0.7,0.3,0,0,0,0.7,1.7
Christian Braun,DEN,SG,22,12,0,17,1.9,4.5,0.426,0.3,1.5,0.222,1.6,3,0.528,0.463,0.9,1.3,0.688,0.8,1.9,2.7,0.8,0.2,0.4,0.1,1.5,5.1
Oshae Brissett,BOS,SF,25,5,0,3.2,0.6,1.2,0.5,0.2,0.2,1,0.4,1,0.4,0.583,0,0.4,0,0.4,1,1.4,0,0,0,0.2,0,1.4
Jaylen Brown,BOS,SF,27,11,11,35.9,9.4,17.1,0.548,1.7,4.8,0.358,7.6,12.3,0.622,0.598,2.9,4.7,0.615,1.3,5.4,6.6,2.7,0.9,0.5,2.8,2.3,23.4
Kendall Brown,IND,SG,20,6,0,3.5,0.3,1,0.333,0,0,0,0.3,1,0.333,0.333,0,0,0,0,0.5,0.5,0,0,0.2,0.3,0.3,0.7
Kobe Brown,LAC,PF,24,3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0,0,0,0,0.3,0
Jalen Brunson,NYK,PG,27,13,13,39.8,11.6,26.2,0.444,2,6.5,0.31,9.6,19.7,0.488,0.482,7.2,9.2,0.775,0.6,2.7,3.3,7.5,0.8,0.2,2.7,2,32.4
Thomas Bryant,MIA,C,26,2,0,9,2.5,3.5,0.714,0,1,0,2.5,2.5,1,0.714,1,1.5,0.667,1,1.5,2.5,0.5,0,0,1,0.5,6
Alec Burks,NYK,SG,32,6,0,20.2,4.2,8.3,0.5,2,4.7,0.429,2.2,3.7,0.591,0.62,4.5,5.3,0.844,0.7,2.7,3.3,1,0.2,0.2,0,1,14.8
Kentavious Caldwell-Pope,DEN,SG,30,12,12,35,2.8,7.2,0.395,1.5,4.6,0.327,1.3,2.6,0.516,0.5,0.9,0.9,1,0.4,2.5,2.9,2.6,1.4,0.4,0.8,3.1,8.1
Wendell Carter Jr.,ORL,C,24,7,5,26.4,2.7,6.7,0.404,1,3.6,0.28,1.7,3.1,0.545,0.479,1.1,1.6,0.727,1.3,5,6.3,1.3,0.7,0.6,0.7,2.9,7.6
Amir Coffey,LAC,SF,26,6,3,18.7,1.2,3.7,0.318,0.5,1.8,0.273,0.7,1.8,0.364,0.386,0,0,0,0.3,1.3,1.7,0.3,0.3,0.2,0.8,1,2.8
Mike Conley,MIN,PG,36,11,11,32.2,3.8,9.6,0.396,2,5.2,0.386,1.8,4.5,0.408,0.5,1.2,1.7,0.684,0.5,3.5,4.1,6.2,1.2,0.2,1.5,2.5,10.8
Pat Connaughton,MIL,SF,31,6,0,20.7,1.8,4.2,0.44,0.5,1.8,0.273,1.3,2.3,0.571,0.5,0.3,0.3,1,0.5,3.3,3.8,2.2,1,0.2,0.5,1,4.5
Jae Crowder,MIL,PF,33,4,0,10.5,0.8,3,0.25,0.3,1.8,0.143,0.5,1.3,0.4,0.292,0.5,0.5,1,0.5,1,1.5,0.5,0,0.5,0,1,2.3
Dyson Daniels,NOP,PG,20,3,0,5.7,0.7,2,0.333,0,0.7,0,0.7,1.3,0.5,0.333,0,0,0,0,0.7,0.7,0,0.7,0,0.3,0,1.3
Anthony Davis,LAL,C,30,5,5,41.6,11.8,18.6,0.634,0,1,0,11.8,17.6,0.67,0.634,4.2,5.2,0.808,3,12.6,15.6,4,0.4,1.6,2.2,3.8,27.8
Mamadi Diakite,NYK,PF,27,4,0,3.8,0,0.8,0,0,0.5,0,0,0.3,0,0,0.5,0.5,1,0,0.8,0.8,0.3,0.3,0.3,0.3,0.8,0.5
Ousmane Dieng,OKC,PF,20,4,0,1.8,0.3,0.5,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5
Spencer Dinwiddie,LAL,PG,30,5,0,14.6,1,2.8,0.357,0.4,1.6,0.25,0.6,1.2,0.5,0.429,0.6,1.2,0.5,0.2,1.2,1.4,1.6,0.4,0.2,0.2,1.4,3
Donte DiVincenzo,NYK,SG,27,13,13,35.8,6.2,14.7,0.419,3.5,8.2,0.425,2.7,6.5,0.412,0.537,2,2.3,0.867,1,3,4,2.6,1.2,0.9,1.2,2.2,17.8
Luka Don?i?,DAL,PG,24,13,13,41.9,9.6,22.5,0.427,2.8,9.5,0.301,6.8,13.1,0.518,0.49,5.6,7.1,0.793,0.9,8.5,9.4,9,1.5,0.5,4.1,2.6,27.7
Luguentz Dort,OKC,SF,24,10,10,35,3.3,9.1,0.363,2.5,6.4,0.391,0.8,2.7,0.296,0.5,1.6,1.9,0.842,1.9,2.7,4.6,2,1.3,0.2,1.1,4.2,10.7
Kevin Durant,PHO,PF,35,4,4,42,9.3,16.8,0.552,1.3,3,0.417,8,13.8,0.582,0.59,7,8.5,0.824,0.3,6.3,6.5,3.3,0.5,1.5,2.5,2,26.8
Anthony Edwards,MIN,SG,22,12,12,40.2,9.9,20,0.496,3.2,7.9,0.4,6.8,12.1,0.559,0.575,5.1,6,0.847,0.9,5.7,6.6,6.1,1.8,0.6,3.2,2.2,28.1
Joel Embiid,PHI,C,29,6,6,41.3,9.8,22.2,0.444,2.2,6.5,0.333,7.7,15.7,0.489,0.492,11.2,13,0.859,3.2,7.7,10.8,5.7,1.2,1.5,4.2,3.3,33
Drew Eubanks,PHO,C,26,3,0,12.3,2.3,4,0.583,0,0,0,2.3,4,0.583,0.583,1,1,1,0,1.3,1.3,0,0.7,0.3,0.7,2,5.7
Dante Exum,DAL,PG,28,12,0,6.8,0.6,2.4,0.241,0.2,0.9,0.182,0.4,1.5,0.278,0.276,0.3,0.3,0.75,0.2,0.6,0.8,0.7,0.1,0.1,0.2,0.5,1.6
Markelle Fultz,ORL,PG,25,7,0,15.1,2.9,4.9,0.588,0,0.1,0,2.9,4.7,0.606,0.588,0.7,1.3,0.556,1,1,2,1.1,0.4,0,1.1,1.7,6.4
